Ticker,FloatShares
CTXR,10533575
ABTS,1331751
NEXM,14811577
AIRG,9804736
HAO,16907675
AP,14590308
CDIO,1761006
FNGR,43605943
SSP,70744783
NTRB,5130218
SVRE,1987734409
NVX,103098285
DHX,39329255
MTEK,4348679
FIEE,393061
RAPP,17463415
ZTEK,99158694
FRGE,8465769
CCCXW,41699858
UEIC,10860745
SVCO,7312578
FBRX,10576456
ANVS,16604093
INBS,7338947
NXDT,38510991
COCP,7010306
QUIK,14709812
JFU,4622564
AGEN,29657256
CUE,76266789
MAZE,12660144
ISPO,1657810
JBIO,22390594
TRAW,3947564
MTC,25141563
AMTX,57536914
KPTI,7959619
GIFT,16917416
QRHC,15705087
HOUR,1698259
TTGT,28392857
SMSI,15671433
NYXH,17070193
CHNR,523381
FAMI,1311047
WYHG,25735053
RNTX,21308994
KYTX,22471746
CXAI,17123163
EVTV,2938339
TRVG,69820754
SOBR,1213000
CISO,14754486
DMAC,22774749
WAVE,5607284
AWRE,11420553
MSGM,744861
OCC,5075428
AKTX,16242
ZKIN,3756840
NXGL,8531832
TSE,32834862
DLXY,4317450
BCG,4360895
LINK,1635002
CPIX,8339515
IQST,2333986
FBLG,30014490
VALN,81020632
BTM,18570173
RAPT,8367167
TOYO,3315126
SNES,4110464
IONR,46612870
SNTI,7994557
CLRB,2960358
OABI,87418046
SAFX,24208099
CISS,642226
FLWS,54282273
NINE,33494877
BACQR,
RITR,20411321
STRZ,11064153
ABOS,46905072
ALGS,4263495
SNCR,10171812
BYSI,29776974
SURG,14004370
TTEC,19634066
XHG,4364
CRIS,10953848
MNDR,3548452
OSS,17424603
IVA,50519309
SYBX,7389341
GITS,1999425
DTI,13553004
LYEL,8605772
EVAX,5102445
RNXT,35383448
CVKD,1384340
LOOP,21709533
IH,14721776
CSCI,3100416
NVA,3228539
REFR,28268290
HCAT,66779901
LXEO,21790245
ELTX,6812074
RNAC,8432370
ENVB,2143658
ATRA,3896629
INLF,1999999
ALM,149420765
HUHU,2633421
SOPH,52362633
GOCO,18355259
SUGP,4019541
SCKT,5408142
REVB,1699573
NBTX,37832927
ZBIO,10067270
SPWR,52585533
SRZN,4798285
EDBL,2920927
SPWH,35951476
COCH,10191200
ESGL,15782536
WETO,5381600
NRXP,16471959
VYGR,45312961
CVGI,26713692
HTZWW,298650620
MGRX,5115737
MYSZ,2989832
BLRX,79412673
CBUS,31984186
TLSI,15024517
ZVIA,49728243
GHRS,41938128
ELUT,25940323
LANV,30718280
ADGM,15102716
ACET,65777661
UONEK,24833000
BRAG,17716859
AEI,941633
OM,16980951
JWEL,1829169
LEXX,17958083
VGAS,6719728
CRGO,22503669
GNLX,33098145
MCRB,6452617
RMCF,5033500
SERA,24997862
CMTL,26372052
DAIC,0
ALAR,6763804
FULC,47949282
ADSE,26639278
PROF,26545813
PLCE,6333723
CHEK,4389010
NIPG,26179867
FHTX,28349908
LFWD,14816709
RFL,23536077
APLT,124183419
IZEA,12202496
TRUE,67936249
NTWK,9240891
UOKA,649073
MBAVW,28750000
NTHI,4239683
WBTN,15516524
SLDE,72436745
XWEL,4079157
VRAR,15097193
GFAI,18303521
AMPG,17395678
NCTY,4479346
QVCGP,7798472
NVCT,13840430
MULL,0
BTCT,9500449
USIO,16400317
ATER,7351789
BTMD,43552149
ISPR,18535470
CYRX,47782142
VIVS,2572005
AMWL,11931706
GANX,34185680
MGNX,58063031
ACIU,61063030
PLUR,3959332
PLRX,54042979
ARCT,24862334
SKYX,69498237
CTNM,20327484
QVCGA,7798472
CENN,32279917
QNCX,41112864
CLYM,58645356
RENT,2255454
IMRX,26048750
LPRO,101584606
PMTS,5722507
BNRG,2149568
SIFY,69977307
EHTH,27614633
ATHE,8630877
NXTC,1878843
