Ticker,FloatShares
ESRT,138099608
OUT,136431854
BUR,189000834
NMRK,151486093
FLG,301002326
RLJ,145880876
MAT,319776411
AIV,129576292
CNH,875541478
CCCS,576527396
GTX,198668490
XHR,94815220
CX,1450832825
PK,193792063
ABR,184421851
PR,555308651
WU,320484675
BGC,434238803
GGB,2049579979
FSK,279440052
RWT,127459235
BRSL,114362080
LBTYA,327068488
TEVA,1145712656
DEI,160822506
XP,365472228
CVE,1263375906
VTRS,1139109785
HAYW,206899708
NVDD,0
SITC,49583558
WT,124127709
INMD,62828200
PBR,6444197136
AMRX,144703419
PCG,2185107912
VIPS,513787630
FLO,197006477
ASX,2174619500
HOPE,121505026
AMCR,2298287155
RLX,1125624758
BEKE,375756079
CIG,2860527948
BBD,10576944675
HAFN,243334701
EBR,1216038979
JBS,1628430132
GNW,402020923
DHT,129153336
ABEV,15592155407
ROIV,430174687
AKR,130259937
NAT,211750152
NOK,5379084145
BANC,130691633
VLY,477959195
GNL,198379988
DRH,202156749
ITUB,9812055828
CAG,474402165
AM,333016120
PAA,460799857
UMC,2511207263
SHO,187568551
AAPD,0
ARR,112150985
SUZ,1218977954
APLE,220311828
SAND,268539763
WIT,3066260345
F,3897189153
DOC,692635313
EBC,194267708
VALE,4268418360
SBLK,89634345
MDU,197264008
FULT,179891800
FNB,353810711
HST,678296921
ACI,402857903
NWBI,138292719
NTST,94456101
IRT,231814825
HR,348047682
EC,2055800051
TWO,103008415
LXP,287017719
HE,172235705
PAGP,192220416
HBAN,1448467897
AQN,767134091
MUFG,11420085197
KEY,1092468358
ADT,669707945
IVR,66033285
ELME,86940685
MFA,101782761
SMFG,3854245490
BBVA,5753278493
VIV,1595845481
SAN,14869770541
MFG,2275776175
SBRA,235390857
LYG,14899736924
BXMT,161025175
RDY,832311266
INFY,4154025187
ORC,191095480
ERIC,3065146133
ICLN,0
BNL,187071509
NWG,2018205964
VOD,2413140000
HLN,4483182050
ET,3112359465
EFC,97406641
AEG,1565509541
OBDC,481048460
TAK,3124002488
DX,127224250
AGNC,1033665968
HTGC,178311360
GBDC,255602422
RITM,527410923
TU,1522698775
PDBC,0
WBA,712694271
ITOS,42714440
OLO,161048476
QYLD,0
CTLP,67909460
PDI,378509508
DNB,335964254
AVDX,183447220
