Ticker,FloatShares
ENSC,2546450.0
HYMC,24398689.0
VFF,99089696.0
TLPH,21530445.0
ACON,582342.0
WXM,1115950.0
ASYS,11135332.0
CHACR,
CAPT,29428740.0
CGC,239717308.0
GANX,34610239.0
PRZO,14641960.0
AMPX,116051615.0
MVST,194196730.0
ABTC,173457948.0
BTAI,18891714.0
OMER,65356051.0
AERT,7594642.0
ABOS,47653154.0
GDRX,286013247.0
ASTI,3047658.0
INEO,1200603.0
ZTEK,99799538.0
NMTC,43619580.0
JYD,785760.0
ICCM,34966366.0
BBLG,1638983.0
QRHC,13694081.0
CRNC,40576350.0
LDI,232354356.0
MARA,364615759.0
EU,171140983.0
CYCU,1925674.0
MYNZ,3506432.0
OMSE,15300211.0
AIRJ,19657433.0
XXII,2001892.0
WKEY,1565064.0
PLCE,6520975.0
IVP,2524239.0
RIOT,345131334.0
ONCO,219701.0
UBXG,13054103.0
PPBT,10933.0
RDW,67570578.0
DGXX,27701048.0
VRAR,15211990.0
ABSI,131929812.0
GCTK,565410.0
EQ,17544261.0
SANA,156693080.0
NNAVW,62275469.0
RNXT,30083339.0
GEMI,23858829.0
VVOS,3192484.0
QNCX,47590425.0
KXIN,10071495.0
UCFI,
FMC,123898029.0
AGAE,11417607.0
ARMG,0.0
ORGN,134525808.0
OPTX,6019990.0
SOUN,365930796.0
DYAI,26907437.0
CGTX,59136682.0
ARRY,137747055.0
CEP,9799996.0
ACOG,10991274.0
,30876600.0
BDSX,3040223.0
LRE,1176750.0
TIL,3308053.0
VRCA,5292936.0
WFF,7910647.0
BCAX,30985862.0
LUNR,111082605.0
CGEN,91623494.0
CMMB,991339.0
NAOV,796918.0
OPAL,16800675.0
MDCX,4243082.0
DCGO,85699490.0
GRNQ,4876937.0
GRI,2514827.0
IBIO,15639794.0
USGO,1474399.0
APYX,32186172.0
LHSW,17785040.0
FTEK,23709796.0
STRO,60455857.0
SNYR,1623198.0
HBIO,33721250.0
OSCR,210091010.0
CLNN,5540484.0
SPIR,26472341.0
GOVX,25280300.0
CGTL,1437491.0
GLE,7337108.0
SNTI,8049441.0
BLDP,253837901.0
LOBO,2059002.0
CTW,2399997.0
NXPL,14303824.0
FFAI,92895076.0
LVO,10376352.0
MCRB,6459472.0
PYXS,47237662.0
PNBK,61965067.0
RILY,16303035.0
EVTL,89653014.0
OSS,17448647.0
HOTH,12705463.0
DTCK,3182141.0
OM,17002235.0
TECX,9741908.0
ASTL,96266792.0
TZUP,3497446.0
HYFT,41954227.0
SXTP,3124474.0
CCG,35270802.0
BTCT,9500449.0
SKIN,81549999.0
LPSN,5409712.0
TSLG,
SLDB,58320996.0
NOTV,31255154.0
BRLT,56781189.0
SBET,168687725.0
DSGN,31108526.0
CAMP,2641927.0
HFFG,41639780.0
CTOR,4497783.0
LVWR,9616182.0
LU,418986623.0
XAIR,4923511.0
ATOS,129100380.0
NOTE,11720174.0
IMUX,95574378.0
CDE,632327717.0
OTLK,29085463.0
HTZ,297633417.0
ARAY,109213452.0
AMPY,32778312.0
SNBR,16473680.0
INTJ,4120275.0
LHAI,6999999.0
TNGX,60967278.0
SMSI,16466943.0
OCGN,287937703.0
EXK,289646015.0
AMIX,4839013.0
MVIS,297831840.0
ETHZ,9299601.0
SPWH,35287032.0
LBRX,182202.0
PROK,86722544.0
ADUR,19856850.0
JWEL,1829168.0
CCCC,66537579.0
CABA,79012670.0
JOBY,536417920.0
CBAT,68506389.0
PLTS,8032044.0
NUWE,75963.0
AVTX,10592653.0
MIRA,12720377.0
DNUT,85796880.0
SLS,105039490.0
TKLF,1290025.0
BHAT,7204834.0
VIOT,74605541.0
TBHC,11522240.0
RMCF,5235155.0
CADL,37814270.0
WRAP,36619870.0
AMDD,0.0
ONFO,3690495.0
AIP,31317834.0
BON,5795814.0
REVB,1518762.0
CODI,66683894.0
IRWD,156352958.0
TROX,117904283.0
ERAS,167458993.0
ANVS,17065067.0
PCT,175152688.0
VG,450557857.0
VERO,1632902.0
LTRN,8202373.0
TORO,9267374.0
ITRM,44245169.0
ACB,56134370.0
FWRD,21550326.0
OMI,74169262.0
RDZN,25080261.0
ATAI,116368566.0
PYPG,0.0
MRAM,17295780.0
WULF,274791338.0
NVD,0.0
PL,250843316.0
SCOR,2749253.0
CELU,14498010.0
DEFT,319466935.0
COYA,15549222.0
RFIL,7923566.0
CTNM,20327484.0
INBS,7338947.0
EDUC,6433452.0
GRWG,51478390.0
ULCC,83817074.0
LUNG,39663513.0
IKT,43708456.0
GTIM,8418085.0
ADSE,26639278.0
ELVA,24353721.0
AXTI,37832124.0
JACK,17057978.0
TVGN,44188038.0
APPS,96641906.0
NCPL,4358725.0
SQNS,194686758.0
PROF,27532585.0
ODV,93682427.0
RNAC,9390377.0
SBFM,4553895.0
TRIB,10016467.0
SOPH,50710350.0
ANRO,23851776.0
MAYAR,11784411.0
ANIX,31168368.0
APVO,2987928.0
OKUR,8003647.0
MNTK,46298251.0
NWTG,4139247.0
WRD,286181284.0
CMND,5318628.0
MXCT,96184782.0
CURV,36272146.0
NCTY,2810789.0
HAIN,88589831.0
GRRR,12734058.0
RCEL,26360464.0
BLIN,9124990.0
MWYN,4631697.0
AKBA,259799714.0
VNET,253411569.0
ENVX,172939201.0
CMTL,26687665.0
STIM,40852575.0
SVRE,747801559.0
UPLD,22067621.0
CMPX,97028680.0
MUX,45613872.0
CUE,76580017.0
GEVO,223530746.0
ATHE,11612540.0
EHTH,24758650.0
SMMT,102546960.0
BMGL,5231363.0
AIFF,5913969.0
GOSS,183248307.0
ALLR,11148509.0
EVEX,46637612.0
MGNX,52560599.0
CBUS,36417941.0
FULC,47973039.0
INTZ,16941305.0
NKTX,52511263.0
ALTO,69314287.0
ASPN,76769037.0
ONEG,3999970.0
PRFX,1834374.0
BCDA,4156867.0
CDZI,54865806.0
ESPR,200211465.0
NIU,90036457.0
ANNX,89052119.0
VTGN,27727072.0
ABCL,202749166.0
PRPL,103141594.0
YHC,421360.0
MBIO,6132890.0
ALLO,164999608.0
ERNA,3157415.0
NRXP,16471959.0
AYTU,6457810.0
BFLY,193296188.0
TRUE,68310410.0
GAME,88117660.0
FHTX,26817252.0
AG,457352436.0
ZNTL,49978327.0
TNXP,8761250.0
HIND,1100206.0
FDMT,41387241.0
PSNL,52594365.0
CING,5404945.0
BULL,234469219.0
AMLX,59273159.0
PHAT,39901172.0
VTYX,63615471.0
HELE,22423622.0
AUTL,240332347.0
THRY,36711352.0
PRQR,65103678.0
YSG,61436031.0
LOT,671995604.0
LXRX,183890725.0
WTI,97823657.0
SY,117032517.0
PMVP,43583319.0
UROY,112579056.0
JMIA,61015327.0
JBIO,24285357.0
JSPR,13779087.0
SGMT,22626577.0
HKD,99519475.0
VYGR,46006937.0
YTRA,46564836.0
SABS,8623639.0
FTK,13777232.0
GMGI,11737866.0
BBOT,447845.0
IHRT,115331935.0
EGAN,17277882.0
RCKT,98658461.0
EVGN,8628308.0
NNBR,44337548.0
PATH,419023871.0
ARX,57051315.0
AIRS,15306412.0
BAER,37547798.0
SKYX,67875721.0
PROP,28785517.0
BIVI,1614601.0
IQST,2333986.0
CLF,485426756.0
AEMD,258889.0
TDOC,175473411.0
AIRO,15863103.0
SVV,38116373.0
IART,58736571.0
DHX,40119602.0
LXEO,21790245.0
TARA,35475637.0
SFIX,110075175.0
IMNM,70798928.0
DENN,49699104.0
CAPR,40185221.0
MATH,22484227.0
NTWK,9991074.0
INSG,12766776.0
ECX,123836605.0
IINN,24610514.0
MTVA,7962773.0
PLRZ,5989294.0
QSG,54681786.0
BALY,4600210.0
LZM,27382388.0
APRE,4635801.0
USAU,12188521.0
STUB,148655115.0
AZ,32092479.0
IMMX,19376811.0
COCP,7819016.0
VEEE,1958890.0
LTRX,29230607.0
IZEA,12124904.0
ACRV,22310922.0
CVGI,24683071.0
COOK,57366041.0
ATER,7351789.0
LX,110640344.0
MAXN,5706995.0
VANI,26207371.0
NRDY,34273517.0
GPRE,63316476.0
RUM,299665782.0
LPRO,101570426.0
OKYO,25081808.0
GFAI,20417588.0
BWEN,20015889.0
INDI,195863673.0
TTGT,28390140.0
SKE,91184241.0
CCLD,25393942.0
SHLS,143982130.0
MASS,26430826.0
CORZW,255298273.0
SPCB,3512404.0
MRVI,92644412.0
INO,52855691.0
NRSN,17826657.0
EVGO,290354135.0
CTMX,120279228.0
REPL,66342207.0
SLXN,560964.0
PTON,381965200.0
CHRS,111186498.0
VMAR,1099835.0
TXMD,11394475.0
SOLZ,0.0
LGVN,17824031.0
RNTX,19896736.0
PHUN,20116848.0
BTBD,3152942.0
LCID,126930910.0
AVXL,83005224.0
XNET,12292728.0
PDSB,45233895.0
IFBD,8186773.0
EPRX,27726265.0
SPRY,52091362.0
PT,360761.0
OBIO,42055680.0
MXL,81207600.0
RXT,72478510.0
LAB,48217174.0
FLL,32997965.0
HL,630983881.0
FUFU,94982626.0
KOS,461003351.0
EYPT,60482552.0
NNOX,61156328.0
SLN,37668546.0
NEON,13052582.0
SBSW,706007164.0
OGI,93763283.0
IPM,5877125.0
RRGB,13919337.0
TERN,69633194.0
NEXT,152484067.0
CYRX,40875173.0
UNCY,13007664.0
OWLT,9357142.0
DH,38347441.0
AMOD,4918455.0
BRTX,5782699.0
SNDX,72737327.0
